id,status,startedAt,stoppedAt,duracion_s
1,error,"2026-08-31 00:22:19.055","2026-08-31 00:22:19.095",0.04
2,success,"2026-08-31 00:32:05.021","2026-08-31 00:32:06.013",0.992
3,success,"2026-08-31 00:32:06.290","2026-08-31 00:32:08.221",1.931
4,success,"2026-08-31 00:32:19.833","2026-08-31 00:32:21.721",1.888
5,success,"2026-08-31 00:32:28.489","2026-08-31 00:32:30.327",1.838
6,error,"2026-08-31 00:32:32.940","2026-08-31 00:32:34.658",1.718
7,error,"2026-08-31 00:32:45.489","2026-08-31 00:32:47.964",2.475
8,success,"2026-08-31 00:38:48.519","2026-08-31 00:38:50.882",2.363
9,success,"2026-08-31 00:38:48.865","2026-08-31 00:38:51.567",2.702
10,success,"2026-08-31 00:38:54.828","2026-08-31 00:38:56.806",1.978
11,success,"2026-08-31 00:39:05.317","2026-08-31 00:39:06.221",0.904
12,success,"2026-08-31 00:39:20.351","2026-08-31 00:39:21.304",0.953
13,success,"2026-08-31 00:39:24.558","2026-08-31 00:39:26.388",1.83
14,success,"2026-08-31 00:39:27.722","2026-08-31 00:39:29.524",1.802
15,success,"2026-08-31 00:39:31.727","2026-08-31 00:39:33.551",1.824
16,success,"2026-08-31 00:39:36.177","2026-08-31 00:39:38.847",2.67
17,success,"2026-08-31 00:39:40.328","2026-08-31 00:39:43.250",2.922
18,success,"2026-08-31 00:39:51.793","2026-08-31 00:39:56.355",4.562
19,success,"2026-08-31 00:39:55.714","2026-08-31 00:39:57.999",2.285
20,success,"2026-08-31 00:39:59.724","2026-08-31 00:40:01.936",2.212
21,success,"2026-08-31 00:40:04.129","2026-08-31 00:40:05.943",1.814
22,success,"2026-08-31 00:40:11.463","2026-08-31 00:40:16.701",5.238
23,success,"2026-08-31 00:40:18.177","2026-08-31 00:40:23.791",5.614
24,success,"2026-08-31 00:40:26.130","2026-08-31 00:40:28.021",1.891
25,success,"2026-08-31 00:40:44.001","2026-08-31 00:40:44.920",0.919
26,success,"2026-08-31 02:34:18.259","2026-08-31 02:34:19.282",1.023
27,success,"2026-08-31 02:34:18.584","2026-08-31 02:34:19.535",0.951
28,success,"2026-08-31 02:34:18.945","2026-08-31 02:34:19.844",0.899
29,success,"2026-08-31 02:34:32.860","2026-08-31 02:34:35.731",2.871
30,success,"2026-08-31 02:34:39.429","2026-08-31 02:34:42.905",3.476
31,success,"2026-08-31 02:34:44.439","2026-08-31 02:34:47.361",2.922
32,success,"2026-08-31 02:34:49.047","2026-08-31 02:34:56.135",7.088
33,success,"2026-08-31 02:35:17.709","2026-08-31 02:35:18.792",1.083
34,success,"2026-09-11 20:08:52.942","2026-09-11 20:08:54.049",1.107
35,success,"2026-09-11 20:08:58.176","2026-09-11 20:09:01.318",3.142
36,success,"2026-09-11 20:09:02.770","2026-09-11 20:09:04.841",2.071
37,success,"2026-09-11 20:09:07.253","2026-09-11 20:09:10.005",2.752
38,success,"2026-09-11 20:09:11.893","2026-09-11 20:09:14.969",3.076
39,success,"2026-09-11 20:09:18.184","2026-09-11 20:09:19.180",0.996
40,success,"2026-09-11 20:09:24.529","2026-09-11 20:09:25.432",0.903
41,success,"2026-09-11 20:09:29.188","2026-09-11 20:09:31.157",1.969
42,success,"2026-09-11 20:09:33.230","2026-09-11 20:09:35.437",2.207
43,success,"2026-09-11 20:09:36.570","2026-09-11 20:09:38.585",2.015
44,success,"2026-09-11 20:09:40.443","2026-09-11 20:09:42.494",2.051
45,error,"2026-09-11 20:09:47.391","2026-09-11 20:09:48.117",0.726
46,success,"2026-09-11 20:09:51.570","2026-09-11 20:09:52.686",1.116
47,success,"2026-09-11 20:09:54.995","2026-09-11 20:09:59.119",4.124
48,success,"2026-09-11 20:10:00.829","2026-09-11 20:10:03.195",2.366
49,success,"2026-09-11 20:10:04.679","2026-09-11 20:10:07.246",2.567
50,success,"2026-09-11 20:10:08.859","2026-09-11 20:10:11.172",2.313
51,success,"2026-09-11 20:10:13.526","2026-09-11 20:10:16.860",3.334
52,success,"2026-09-11 20:10:18.404","2026-09-11 20:10:20.746",2.342
53,success,"2026-09-11 20:10:23.136","2026-09-11 20:10:25.221",2.085
54,success,"2026-09-11 20:10:27.146","2026-09-11 20:10:29.745",2.599
55,success,"2026-09-11 20:10:34.275","2026-09-11 20:10:35.585",1.31
56,success,"2026-09-11 20:10:38.276","2026-09-11 20:10:39.173",0.897
57,success,"2026-09-11 20:10:43.224","2026-09-11 20:10:45.213",1.989
58,success,"2026-09-11 20:10:47.325","2026-09-11 20:10:49.308",1.983
59,success,"2026-09-11 20:10:51.310","2026-09-11 20:10:55.743",4.433
60,success,"2026-09-11 20:10:58.076","2026-09-11 20:11:02.483",4.407
61,success,"2026-09-11 20:11:03.489","2026-09-11 20:11:04.446",0.957
62,success,"2026-09-11 20:11:07.539","2026-09-11 20:11:08.461",0.922
63,success,"2026-09-11 20:11:11.179","2026-09-11 20:11:13.354",2.175
64,success,"2026-09-11 20:11:14.971","2026-09-11 20:11:16.935",1.964
65,success,"2026-09-11 20:11:18.755","2026-09-11 20:11:21.195",2.44
66,success,"2026-09-11 20:11:23.049","2026-09-11 20:11:25.098",2.049
67,success,"2026-09-11 20:12:13.595","2026-09-11 20:12:15.637",2.042
68,success,"2026-09-11 20:14:05.885","2026-09-11 20:14:06.844",0.959
69,success,"2026-09-11 20:14:11.510","2026-09-11 20:14:14.451",2.941
70,success,"2026-09-11 20:14:16.001","2026-09-11 20:14:19.114",3.113
71,success,"2026-09-11 20:14:20.639","2026-09-11 20:14:22.614",1.975
72,success,"2026-09-11 20:14:33.015","2026-09-11 20:14:35.151",2.136
73,success,"2026-09-11 20:14:37.532","2026-09-11 20:14:38.670",1.138
74,success,"2026-09-11 20:14:37.535","2026-09-11 20:14:38.688",1.153
75,success,"2026-09-11 20:14:46.577","2026-09-11 20:14:47.581",1.004
76,success,"2026-09-11 20:14:51.261","2026-09-11 20:14:53.142",1.881
77,success,"2026-09-11 20:14:54.597","2026-09-11 20:14:56.389",1.792
78,success,"2026-09-11 20:14:57.734","2026-09-11 20:14:59.895",2.161
79,success,"2026-09-11 20:15:01.986","2026-09-11 20:15:04.998",3.012
80,success,"2026-09-11 20:15:07.474","2026-09-11 20:15:09.495",2.021
81,success,"2026-09-11 20:15:17.100","2026-09-11 20:15:18.145",1.045
82,success,"2026-09-11 20:15:21.701","2026-09-11 20:15:23.724",2.023
83,success,"2026-09-11 20:15:25.441","2026-09-11 20:15:27.223",1.782
84,success,"2026-09-11 20:15:30.047","2026-09-11 20:15:32.191",2.144
85,success,"2026-09-11 20:15:34.208","2026-09-11 20:15:36.243",2.035
86,success,"2026-09-11 20:15:37.411","2026-09-11 20:15:40.613",3.202
87,success,"2026-09-11 20:15:37.413","2026-09-11 20:15:39.091",1.678
88,success,"2026-09-11 20:15:45.323","2026-09-11 20:15:47.502",2.179
